#File format: word,sPoint,nPoint,yPoint,mPoint,hPoint,lPoint

#Lonely Winning words
selfish,0,0,0,0,0,3
pig,0,0,0,0,0,3
greedy,0,0,0,0,0,3
rude,0,0,0,0,0,3
inconsiderate,0,0,0,0,0,3
failure,0,0,0,0,0,3
wrong,0,0,0,0,0,3
inconsistent,0,0,0,0,0,3
undependable,0,0,0,0,0,3
misstep,0,0,0,0,0,3
loner,0,0,0,0,0,3
wolf,0,0,0,0,0,3
reject,0,0,0,0,0,3
wrong,0,0,0,0,0,3
bad,0,0,0,0,0,3
solo,0,0,0,0,0,3
unloved,0,0,0,0,0,3
mistake,0,0,0,0,0,3
alone,0,0,0,0,0,3
one,0,0,0,0,0,3
empty,0,0,0,0,0,3
forsaken,0,0,0,0,0,3
seclusion,0,0,0,0,0,3
single,0,0,0,0,0,3
solitude,0,0,0,0,0,3
left,0,0,0,0,0,3
outcast,0,0,0,0,0,3
outsider,0,0,0,0,0,3
recluse,0,0,0,0,0,3
anti-social,0,0,0,0,0,3
forlorn,0,0,0,0,0,3
languish,0,0,0,0,0,3
despair,0,0,0,0,0,3
starved,0,0,0,0,0,3
aversion,0,0,0,0,0,3
cease,0,0,0,0,0,3
deny,0,0,0,0,0,3
tsun,0,0,0,0,0,3
shun,0,0,0,0,0,3
defeat,0,0,0,0,0,3
ruin,0,0,0,0,0,3
spoil,0,0,0,0,0,3
loser,0,0,0,0,0,3
fall,0,0,0,0,0,3
miss,0,0,0,0,0,3
fold,0,0,0,0,0,3
flop,0,0,0,0,0,3
forget,0,0,0,0,0,3
desert,0,0,0,0,0,3
disappointment,0,0,0,0,0,3
ignore,0,0,0,0,0,3
omit,0,0,0,0,0,3
slip,0,0,0,0,0,3
neglect,0,0,0,0,0,3
crash,0,0,0,0,0,3
end,0,0,0,0,0,3
bust,0,0,0,0,0,3
miser,0,0,0,0,0,3
avarice,0,0,0,0,0,3
never,0,0,0,0,0,3

#Harem Winning words
ecchie,1,1,1,1,3,0
kindtotal,1,1,1,1,3,0
literature,1,1,1,1,3,0
relentless,1,1,1,1,3,0
indecisive,1,1,1,1,3,0
sharing,1,1,1,1,3,0
healthy,1,1,1,1,3,0
drive,1,1,1,1,3,0
harem,1,1,1,1,3,0
bluerose,1,1,1,1,3,0
fragile,1,1,1,1,3,0
miracle,1,1,1,1,3,0
permanent,1,1,1,1,3,0
dangerous,1,1,1,1,3,0
thinice,1,1,1,1,3,0
cooperation,1,1,1,1,3,0
teamwork,1,1,1,1,3,0
unity,1,1,1,1,3,0
partner,1,1,1,1,3,0
stretch,1,1,1,1,3,0
tough,1,1,1,1,3,0
best,1,1,1,1,3,0
lossless,1,1,1,1,3,0
winner,1,1,1,1,3,0
reward,1,1,1,1,3,0
player,1,1,1,1,3,0
gamophobia,1,1,1,1,3,0
polygamy,1,1,1,1,3,0
friends,1,1,1,1,3,0
womanizer,1,1,1,1,3,0
full,1,1,1,1,3,0
packed,1,1,1,1,3,0
amourous,1,1,1,1,3,0
plenty,1,1,1,1,3,0
excess,1,1,1,1,3,0
difficult,1,1,1,1,3,0
open,1,1,1,1,3,0
unsettled,1,1,1,1,3,0
wishy-washy,1,1,1,1,3,0
falter,1,1,1,1,3,0
unclear,1,1,1,1,3,0
waver,1,1,1,1,3,0
uncertain,1,1,1,1,3,0
abound,1,1,1,1,3,0
manifold,1,1,1,1,3,0
crowd,1,1,1,1,3,0
endless,1,1,1,1,3,0
rife,1,1,1,1,3,0
variety,1,1,1,1,3,0
split,1,1,1,1,3,0
equal,1,1,1,1,3,0
balance,1,1,1,1,3,0
divide,1,1,1,1,3,0
lot,1,1,1,1,3,0
glutton,1,1,1,1,3,0
satisfy,1,1,1,1,3,0
ordeal,1,1,1,1,3,0
wealth,1,1,1,1,3,0
enough,1,1,1,1,3,0
mass,1,1,1,1,3,0

#Monika's winning words
control,1,1,1,3,0,0
reality,1,1,1,3,0,0
piano,1,1,1,3,0,0
monster,1,1,1,3,0,0
independent,1,1,1,3,0,0
helpful,1,1,1,3,0,0
sorry,1,1,1,3,0,0
obsessed,1,1,1,3,0,0
imprisoned,1,1,1,3,0,0
trapped,1,1,1,3,0,0
